epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,2175.1,0.55192,0.2484,0.00821,0.94511,0.97548,0.96849,0.75977,0.89025,0.35123,0.02391,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,2294.97,0.55129,0.24968,0.0082,0.95185,0.9673,0.97394,0.76384,0.88426,0.35338,0.02338,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,2415.1,0.55776,0.26713,0.0083,0.94608,0.96458,0.97253,0.76747,0.86889,0.35553,0.02207,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,2534.99,0.54846,0.25601,0.00835,0.94951,0.9564,0.96987,0.76876,0.84381,0.3676,0.02122,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,2654.8,0.53568,0.25127,0.00812,0.94498,0.9673,0.97426,0.77548,0.84866,0.36325,0.02154,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,2774.81,0.55009,0.26217,0.00812,0.95,0.96458,0.9732,0.77363,0.8415,0.36233,0.02137,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,2894.96,0.5439,0.24776,0.00808,0.95398,0.96022,0.97232,0.77126,0.84992,0.37779,0.02188,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,3015.21,0.5359,0.24119,0.00809,0.95695,0.95368,0.97802,0.77472,0.8464,0.36649,0.02194,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,3135.11,0.54125,0.24083,0.0081,0.94323,0.97275,0.96602,0.76645,0.82852,0.37144,0.02101,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,3255.05,0.54003,0.24554,0.00817,0.94611,0.9568,0.97183,0.77706,0.82032,0.37754,0.02056,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,3374.53,0.5284,0.24197,0.00792,0.94756,0.96185,0.96948,0.7739,0.81495,0.36579,0.02025,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,3493.54,0.53201,0.23331,0.00794,0.95402,0.96117,0.97331,0.77891,0.81872,0.36752,0.02041,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,3612.5,0.53427,0.24726,0.00795,0.9533,0.96185,0.97451,0.78182,0.81696,0.349,0.02031,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,3731.58,0.52517,0.23578,0.00782,0.94901,0.96356,0.97111,0.77913,0.81934,0.36078,0.02057,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,3850.63,0.53698,0.23742,0.00805,0.93692,0.96458,0.97252,0.78161,0.81112,0.37535,0.02018,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,3969.71,0.52226,0.23419,0.00783,0.95373,0.95913,0.97236,0.78454,0.80793,0.37202,0.02002,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,4088.91,0.53656,0.23135,0.00809,0.93421,0.97275,0.96844,0.77495,0.81701,0.37374,0.02046,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,4208.08,0.54189,0.2415,0.00816,0.9463,0.96026,0.96985,0.76823,0.8462,0.37815,0.02179,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,4327.28,0.53265,0.25067,0.00817,0.95153,0.96286,0.96582,0.7579,0.87741,0.39333,0.02336,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,4446.57,0.52948,0.23583,0.0079,0.94632,0.96075,0.96711,0.76218,0.86802,0.39542,0.02294,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,4565.68,0.5347,0.23912,0.00824,0.9467,0.968,0.9713,0.76635,0.87241,0.38467,0.02285,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,4684.74,0.51877,0.23266,0.00772,0.95042,0.96458,0.96463,0.76498,0.8551,0.38743,0.02201,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,4803.74,0.52864,0.23378,0.008,0.95872,0.94936,0.97155,0.76913,0.8422,0.37826,0.02131,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,4922.82,0.5159,0.23305,0.00767,0.9641,0.93733,0.97347,0.77343,0.83158,0.37252,0.0208,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,5044.35,0.52404,0.23487,0.00778,0.95636,0.95541,0.97447,0.77127,0.83643,0.38179,0.02087,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,5164.51,0.52244,0.23728,0.00784,0.95894,0.95368,0.9702,0.77008,0.82988,0.38606,0.02055,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,5284.77,0.51115,0.22965,0.00758,0.96201,0.966,0.97422,0.77174,0.83149,0.37199,0.02048,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,5404.7,0.51084,0.22239,0.00754,0.95111,0.9673,0.97445,0.77249,0.82913,0.37658,0.02041,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,5524.69,0.51944,0.242,0.00803,0.9647,0.95913,0.97575,0.77825,0.81644,0.36043,0.02002,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,5652.38,0.50654,0.22452,0.00766,0.95662,0.96141,0.97485,0.77545,0.81501,0.36801,0.01997,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,5790.23,0.50898,0.22565,0.00754,0.95669,0.96304,0.97511,0.7759,0.8198,0.3562,0.02013,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,5910.34,0.51516,0.22281,0.00742,0.95453,0.97248,0.97556,0.77719,0.81803,0.36116,0.02003,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,6040.03,0.50437,0.21906,0.00739,0.94694,0.97251,0.97387,0.7737,0.81467,0.37417,0.01994,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,6160.17,0.51107,0.22561,0.00762,0.94698,0.97341,0.97351,0.77599,0.81018,0.37055,0.01969,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,6280.45,0.50455,0.22581,0.00769,0.94462,0.97593,0.97116,0.77436,0.80721,0.37008,0.01959,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,6400.56,0.50975,0.22612,0.00752,0.94703,0.97438,0.97339,0.78483,0.79592,0.36895,0.01904,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,6520.66,0.5016,0.22724,0.00756,0.95517,0.9564,0.97488,0.78863,0.78871,0.37616,0.01868,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,6641.23,0.50517,0.22302,0.00768,0.95621,0.95195,0.97207,0.78394,0.78804,0.37968,0.01863,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,138.127,0.47256,0.20341,0.00709,0.94114,0.97275,0.97553,0.78836,0.79054,0.37118,0.0187,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,265.752,0.48501,0.21132,0.00721,0.96416,0.95299,0.97454,0.78846,0.79135,0.3706,0.01872,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,391.514,0.49514,0.21671,0.00733,0.94439,0.96458,0.97055,0.78204,0.7933,0.37547,0.01877,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,517.449,0.48995,0.21028,0.00726,0.95823,0.95368,0.97454,0.78697,0.79126,0.37362,0.01875,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,643.274,0.49592,0.22925,0.00745,0.94846,0.95913,0.96969,0.78273,0.79158,0.37544,0.0188,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,768.973,0.49283,0.21387,0.00734,0.95637,0.95574,0.97008,0.78209,0.7889,0.37986,0.0188,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,894.619,0.48703,0.22615,0.0074,0.95278,0.96185,0.96957,0.77939,0.79311,0.38006,0.01893,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,1020.06,0.48786,0.21265,0.00721,0.95405,0.96182,0.97105,0.78242,0.79558,0.38127,0.01903,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,1144.71,0.47995,0.20913,0.00715,0.95186,0.96185,0.97074,0.78097,0.79858,0.38279,0.01916,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,1269.3,0.49042,0.21559,0.00722,0.94566,0.96458,0.9732,0.78204,0.79741,0.37411,0.01912,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,1393.88,0.48346,0.21629,0.00709,0.95642,0.95686,0.97212,0.78105,0.79784,0.37532,0.01913,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,1518.25,0.4803,0.20902,0.00705,0.93711,0.97003,0.97245,0.78241,0.79589,0.368,0.01906,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,1643.03,0.47319,0.20928,0.007,0.94166,0.97275,0.97396,0.78722,0.79232,0.36371,0.01895,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
